Name,P_rot,P_rot_err,Prot_errm,Prot_errp
TYC 3148-451-1,3.767,,,
TYC 3148-373-1,16.975,,,
TYC 3148-362-1,1.848,,,
TYC 3148-360-1,6.168,,,
TYC 3148-279-1,1.311,,,
TYC 3148-2361-1,8.261,,,
TYC 3148-2358-1,1.88,,,
TYC 3148-2345-1,1.254,,,
TYC 3148-2329-1,5.027,,,
TYC 3148-232-1,5.329,,,
TYC 3148-2223-1,2.501,,,
TYC 3148-2216-1,2.021,,,
TYC 3148-2163-1,2.55,,,
TYC 3148-212-1,9.272,,,
TYC 3148-2098-1,8.753,,,
TYC 3148-2077-1,1.48,,,
TYC 3148-1962-1,1.822,,,
TYC 3148-1900-1,1.041,,,
TYC 3148-1897-1,3.544,,,
TYC 3148-1858-1,1.143,,,
TYC 3148-183-1,2.539,,,
TYC 3148-1801-1,2.126,,,
